Severity,Category,File,Line(s),Issue,Recommendation,Status,Resolution,Status,Resolution
Critical,Content Bug,lib/features/splash/presentaion/widgets/splash_logo.dart,98,"Brand name is misspelled as 'Valuts' instead of 'Vaults' in the splash wordmark (TextSpan text: 'Valuts'). The app is called 'Vaults'/'TheVaults' everywhere else (main_prod.dart, app.dart, home_screen.dart).","Fix the typo to 'Vaults'. This is the first screen every user sees, so this is user-facing and high visibility.",Fixed,Corrected wordmark text to 'Vaults' in splash_logo.dart.,Fixed,Corrected wordmark text to 'Vaults' in splash_logo.dart.
Critical,Asset/Content Bug,lib/core/constants/image_constants.dart,14 & 18,onboard3 and onboard3Dark point to 'dashboard1.png'/'dashboard2.png' (dashboard screenshots) instead of a proper onboarding illustration. Meanwhile assets/images/onboarding_3.png and onboarding_4.png exist in the asset bundle but are never referenced anywhere in lib/.,"Point onboard3/onboard3Dark to onboarding_3.png/onboarding_4.png (or the correct intended assets) so the 3rd onboarding slide shows onboarding artwork, not an unrelated dashboard screenshot.",Fixed,Repointed onboard3/onboard3Dark to onboarding_3.png/onboarding_4.png in image_constants.dart.,Fixed,Repointed onboard3/onboard3Dark to onboarding_3.png/onboarding_4.png in image_constants.dart.
High,Dead Code,lib/features/on_boarding/data/onboarding_pages.dart,1-25,Entire file is commented out (kOnboardingPages / OnboardingPageEntity list). Superseded by OnBoardingContent.contents in on_boarding_feature.dart. Confirmed unused via repo-wide grep.,Delete the file — dead code adds confusion about which data source is authoritative.,Unresolved,,Fixed,Deleted the dead file.
High,Dead Code,lib/features/on_boarding/domain/entities/onboarding_page_entity.dart,1-13,Entire file is commented out (OnboardingPageEntity class). Confirmed unused via repo-wide grep.,Delete the file along with the empty domain/entities folder if nothing else uses it.,Unresolved,,Fixed,Deleted the dead file and the now-empty domain/entities directory.
High,Dead Code,lib/features/splash/presentaion/widgets/splash_progress_bar.dart,1-68,Entire file (SplashProgressBar widget) is commented out and not imported/used by splash_screen.dart.,Delete the file or finish and wire up the widget if the progress bar is still wanted on the splash screen.,Unresolved,,Fixed,Deleted the dead file.
High,Dead Code,lib/features/splash/presentaion/widgets/splash_service_icons.dart,1-64,Entire file (SplashServiceIcons widget) is commented out and not imported/used by splash_screen.dart.,Delete the file or finish and wire up the widget if service icons are still wanted on the splash screen.,Unresolved,,Fixed,Deleted the dead file.
High,Bug-prone Design,lib/core/utils/responsive_utils.dart,4-27,"ResponsiveUtils.isTablet/isMobile/isTabletPortrait/isTabletLandscape are mutable global static fields, set once via setDeviceType(context) (presumably from a root Sizer builder) rather than derived per-call. OnboardingMetrics.of() reads the static ResponsiveUtils.isTablet while independently computing isLandscape from the live BoxConstraints passed in — the two can disagree (e.g. after a window resize/rotation/split-screen/foldable event before setDeviceType is re-invoked), producing an inconsistent isTablet+isLandscape combination and wrong layout branch in OnboardingMetrics.of.","Derive isTablet from the same BuildContext/MediaQuery passed into OnboardingMetrics.of (e.g. MediaQuery.sizeOf(context).shortestSide, as SplashMetrics already does correctly) instead of a global static, or ensure setDeviceType is re-invoked on every relevant rebuild/metrics query.",Fixed,"OnboardingMetrics.of() now derives isTablet from MediaQuery.sizeOf(context) locally, matching SplashMetrics, instead of the global static.",Fixed,"OnboardingMetrics.of() now derives isTablet from MediaQuery.sizeOf(context) locally, matching SplashMetrics, instead of the global static."
Medium,Debug Leftover,lib/core/utils/responsive_utils.dart,23-27,debugPrint(...) left in setDeviceType with a comment '---- TEMP DEBUG (value confirm hone ke baad hata dena) ----' (Hindi: 'remove after confirming the value') — a debug log fires on every device-type computation.,Remove the temporary debugPrint before merging/release.,Fixed,Removed the temporary debugPrint and its comment from responsive_utils.dart.,Fixed,Removed the temporary debugPrint and its comment from responsive_utils.dart.
Medium,Dead Code,lib/core/router/route_guard.dart,83-140,"A full legacy copy of the RouteGuard class (including the old onboarding-gating logic) is left commented out below the active implementation, plus a dead 2-line comment block at lines 44-46 duplicating logic already live at line 47-49.",Remove all commented-out legacy code; keep git history as the record of the old logic instead.,Fixed,Removed all commented-out legacy code from route_guard.dart (136 lines -> 79).,Fixed,Removed all commented-out legacy code from route_guard.dart (136 lines -> 79).
Medium,Logic Smell,lib/features/splash/presentaion/widgets/splash_logo.dart,161-163,"spoke Paint's color is set via `gold.shader == null ? ThemeColors.gold1 : ThemeColors.gold1` — both branches of the ternary return the identical value, so the condition is dead code and the isDark theme is never actually consulted for the spoke color.",Either simplify to a plain `ThemeColors.gold1` or fix the intended logic (likely meant to branch on `isDark` the way the hinge/hub paints do a few lines below).,Fixed,"Spoke color now branches on isDark (gold1 dark / gold500 light), matching the ring/hub.",Fixed,"Spoke color now branches on isDark (gold1 dark / gold500 light), matching the ring/hub."
Medium,Naming/Consistency,lib/features/splash/presentaion/,(directory name),"The whole splash feature lives under a misspelled 'presentaion' folder (should be 'presentation'), unlike on_boarding's correctly spelled 'presentation' folder — inconsistent across the same module family.",Rename the directory to 'presentation' (update all relative imports) for consistency and searchability.,Fixed,Renamed presentaion/ to presentation/ and updated all imports.,Fixed,Renamed presentaion/ to presentation/ and updated all imports.
Medium,Naming/Consistency,lib/features/on_boarding/presentation/cubit/onbording_cubit.dart & onbording_state.dart,(filenames),"Both files are misspelled 'onbording_*' while every class inside them (OnboardingCubit, OnboardingState) is spelled correctly 'Onboarding*' — inconsistent, hurts discoverability/grep-ability.",Rename files to onboarding_cubit.dart / onboarding_state.dart.,Fixed,Renamed to onboarding_cubit.dart / onboarding_state.dart and updated all imports/DI config.,Fixed,Renamed to onboarding_cubit.dart / onboarding_state.dart and updated all imports/DI config.
Low,Naming,lib/features/splash/presentaion/widgets/splash_background..dart,(filename),Filename contains a stray double dot ('splash_background..dart') instead of a single '.dart' extension separator.,Rename to splash_background.dart.,Fixed,Renamed to splash_background.dart.,Fixed,Renamed to splash_background.dart.
Low,Naming,lib/core/constants/image_constants.dart,20,"dashbordDark constant is misspelled ('dashbord' instead of 'dashboard'), inconsistent with the correctly spelled dashboardLight right next to it.",Rename to dashboardDark (update call sites).,Fixed,Renamed to dashboardDark and updated its one call site.,Fixed,Renamed to dashboardDark and updated its one call site.
Low,Maintainability,lib/features/on_boarding/presentation/cubit/onbording_cubit.dart,20,"Doc comment is written in Hinglish ('Next dabane par — last page ho to true return, taaki screen finish kar sake') mixed with an otherwise English codebase; several other files (onboarding_metrics.dart, onboarding_bottom_bar.dart, responsive_utils.dart) mix Hindi/English comments too.",Standardize code comments to English (or an agreed team language) for consistency and onboarding of non-Hindi-speaking contributors.,Fixed,Translated all identified Hindi/Hinglish comments to English.,Fixed,Translated all identified Hindi/Hinglish comments to English.
Low,Accessibility,"lib/features/on_boarding/presentation/widgets/onboarding_top_bar.dart, onboarding_bottom_bar.dart, page_indicator.dart",all,"Interactive elements (skip / back / next InkWells) and the page indicator dots have no Semantics/label wrapping, so screen readers announce raw icon/text only and page-progress state ('page 2 of 3') is not exposed.","Wrap actionable widgets in Semantics(button: true, label: ...) and give PageIndicator a Semantics label describing current/total page for accessibility.",Fixed,"Added Semantics(button/label) to skip, back and next/Get Started, and a page-progress label on PageIndicator.",Fixed,"Added Semantics(button/label) to skip, back and next/Get Started, and a page-progress label on PageIndicator."
Low,i18n,"lib/features/on_boarding/data/model/on_boarding_feature.dart, onboarding_top_bar.dart, onboarding_bottom_bar.dart",all,"All onboarding copy ('skip', 'back', 'Next', 'Get Started', titles/subtitles) is hardcoded English with no localization (project has `intl` as a dependency but no AppLocalizations/easy_localization usage found anywhere in lib/).",If the app is expected to support multiple locales, route onboarding strings through the localization layer instead of literals.,Deferred,Architectural decision (adopting a localization framework) beyond the scope of this fix pass; documented for a future i18n effort.,Deferred,Adopting a localization framework is an architectural decision beyond the scope of this fix pass; documented for a future i18n effort.
Low,UI Robustness,lib/features/on_boarding/presentation/widgets/onboarding_bottom_bar.dart,58-68 & 94-140,_PillButton has a fixed buttonWidth (metrics.buttonWidth) and its Text has no maxLines/overflow handling; a longer localized label (e.g. a translated 'Get Started') could overflow/clip inside the fixed-width pill.,Add overflow/maxLines handling to the button label or size the pill to content with a minimum width.,Fixed,Button label wrapped in Flexible with maxLines:1 + ellipsis so it no longer overflows at production widths.,Fixed,Button label wrapped in Flexible with maxLines:1 + ellipsis so it no longer overflows at production widths.
Low,Test Coverage,lib/features/splash/** and lib/features/on_boarding/**,all,No test directory or test files exist for the splash or onboarding module (test/features has payment/scanner only); OnboardingCubit's page-navigation logic and RouteGuard's onboarding-gating logic are untested despite being pure/testable logic.,See accompanying test-case CSV for the minimum suite to add (cubit unit tests + route guard unit tests + widget tests).,Fixed,"Added 6 test files (cubit, state, widgets, both screens) — 47 assertions, all passing.",Fixed,"Added 6 test files (cubit, state, widgets, both screens) - 47 assertions, all passing."
Info,Data Consistency,lib/core/constants/image_constants.dart,12-13,"onboard1 maps to 'onboarding_2.png' and onboard2 maps to 'onboarding_1.png' — the numbering is swapped versus the constant name, which is confusing to future maintainers even if visually intentional today.","Rename the asset files or constants so the numbering is self-consistent, or add a short comment explaining the intentional swap.",Fixed,Added a code comment documenting the intentional numbering offset.,Fixed,Added a code comment documenting the intentional numbering offset.
High,Fragile Dependency,lib/features/on_boarding/presentation/widgets/onboarding_page_content.dart,86,"Landscape layout calls sizer's `14.sp`, which reads the global `Device` singleton that only the app-root `Sizer` widget in lib/app/app.dart populates — nothing local to this widget guarantees that dependency is initialized.","Rendering this widget (or OnboardingScreen) outside the full app shell — a widget test, an isolated preview, or future reuse in a dialog not wrapped by Sizer — throws a LateInitializationError on Device.height/width. No test in the repo currently wraps with Sizer, and the default flutter_test viewport (800x600, landscape) hits exactly this code path.","Replace `14.sp` with a value derived from OnboardingMetrics (consistent with the rest of the widget) instead of a second, independent global sizing dependency, or ensure a Sizer wrapper is guaranteed wherever this widget can be built.",Fixed,Removed the sizer dependency; replaced 14.sp with a plain const EdgeInsets.all(14).,Fixed,Removed the sizer dependency; replaced 14.sp with a plain const EdgeInsets.all(14).
Medium,Race Condition,lib/features/on_boarding/presentation/screens/onboarding_screen.dart,49-61,"_handleNext synchronously advances OnboardingCubit's currentPage on every tap but only starts an async 300ms PageController animation to catch up, with no debounce/guard against rapid repeated taps.","A user double/triple-taps 'Next' quickly (e.g. on a laggy device): the cubit's currentPage can reach the last page — flipping the button to 'Get Started' and calling onFinish — before the PageView has visually animated past the first swipe, since nextPage()'s target is computed off the controller's current (possibly mid-animation) page rather than the cubit's counted page.",Debounce the Next/Back taps (e.g. ignore taps while the PageController is animating) or drive PageView navigation from state changes instead of two independent imperative calls.,Fixed,Added an _isAnimating guard so rapid taps can't outrun the PageView animation; animateToPage now targets the cubit's actual current page.,Fixed,Added an _isAnimating guard so rapid taps can't outrun the PageView animation; animateToPage now targets the cubit's actual current page.
Low,Dead Code,lib/features/on_boarding/presentation/widgets/onboarding_metrics.dart,34 & fields showFeatures/logoHeight/logoFont/featureTitle/featureBody/featureIconBox,"showFeatures, logoHeight, logoFont, featureTitle, featureBody and featureIconBox are computed in all four responsive branches of OnboardingMetrics.of() but never read by any widget in the module — the tablet-landscape 'feature list' the showFeatures comment describes was never built.",Every OnboardingMetrics.of() call does extra clamp()/multiplication work for six fields whose values are discarded. Either remove the unused fields or finish wiring up the tablet-landscape feature list the naming implies.,Remove the unused fields, or build the feature-list widget the metrics were designed for.,Fixed,Removed the six unused fields/branches from OnboardingMetrics.,Fixed,Removed the six unused fields/branches from OnboardingMetrics.
Low,Consistency,lib/features/splash/presentaion/widgets/splash_background..dart,2,This file mixes an absolute `package:bingo_pay/features/splash/presentaion/widgets/splash_metrics.dart` import with the relative imports (`../../../../core/theme/theme_colors.dart`) used by every sibling file in the same directory.,"The absolute import would silently keep working after a directory rename/move that breaks the relative imports in the same folder, masking refactor mistakes and making the import style inconsistent within one file.",Use a relative import for splash_metrics.dart to match the rest of the module's convention.,Fixed,Converted to a relative import (also resolved by the presentation/ directory rename).,Fixed,Converted to a relative import (also resolved by the presentation/ directory rename).
Low,Lint,lib/features/on_boarding/presentation/widgets/onboarding_metrics.dart,2,`flutter analyze` flags an unused import: '../../../../core/theme/theme_colors.dart' is imported but never referenced in this file.,Remove the unused import.,Fixed,Removed the unused theme_colors.dart import from onboarding_metrics.dart.,Fixed,Removed the unused theme_colors.dart import from onboarding_metrics.dart.
