Finding ID,Severity,Component/Layer,File:Line,Category,Finding Summary,Impact,Recommendation
F-01,Critical,Product Detail — ProductDetailCubit / product_info_section.dart,"product_details_cubit.dart:44-55; product_details_screen.dart:124-127; product_info_section.dart:12-19,156",Broken Functionality,"Product Detail has no functional quantity selector. incrementQuantity()/decrementQuantity() are never called from any live widget — the only call sites are inside fully commented-out dead code, and the quantity-display widget is likewise entirely commented out.","Add to Cart and Buy Now from the PDP always submit quantity=1, with no way for a user to select a larger quantity before purchasing. Direct revenue/UX impact.",Re-wire the quantity stepper UI to the existing cubit methods and pass the selected quantity into addItem/buyNow calls.
F-02,Critical,Wishlist — WishlistCubit / app bootstrap,wishlist_cubit.dart:12-19; app.dart:109,Security / Privacy / Data Integrity,"Wishlist data is persisted only in a single global SharedPreferences key (wishlist_items_v1), and the WishlistCubit instance is created once at app root and never torn down or reloaded on logout/login.","If User A logs out and User B logs into the same device, User B sees and can silently mutate User A's wishlist — a cross-account data leak, the same class of session-bleed risk flagged in the auth review but here baked into persistent storage.","Scope the wishlist storage key per authenticated user ID, and reset/reload the WishlistCubit on every login/logout transition."
F-03,Critical,Dashboard/Catalog — ProductModel / all_products_screen.dart,"product_model.dart:6,39,73; all_products_screen.dart:485-505",Correctness / Data Integrity,"ProductModel.stock is declared, initialized to 0, and never reassigned from the parsed variant JSON (unlike ProductDetailModel/ProductVariant, which correctly parse inventory.availableStock). AllProductsScreen's grid also never passes isOutOfStock: to AppProductCard even though the widget fully supports an out-of-stock badge/disabled state.","Sold-out products on the Dashboard/'All Products' grid show as fully purchasable with no client-side warning, leading to failed/rejected add-to-cart attempts and user confusion.","Parse stock from inventory.availableStock in ProductModel's fromJson, and wire isOutOfStock into the Dashboard/All Products grid cards."
F-04,High,Dashboard + Product Listing — all_products_repo.dart / product_categories_cubit.dart,all_products_repo.dart:4-7; product_categories_cubit.dart:234-241,Correctness / Scalability,"No pagination anywhere in the catalog. Dashboard's 'All Products' fetches one fixed page (limit:100) and Product Listing fetches one fixed page per category (page:1, limit:20) — neither has infinite scroll or 'load more'.",Catalogs/categories larger than these caps have products that are permanently unreachable by browsing.,Implement infinite scroll / load-more pagination on both the All Products grid and the category listing screen.
F-05,High,Product Listing — product_categories_cubit.dart,product_categories_cubit.dart:106-124,Efficiency / Correctness,"_resolveCategoryUuids expands a tapped category into every descendant UUID, then a for loop awaits _fetchProducts once per descendant sequentially.","A category tree with many subcategories fires that many sequential round-trips before the screen renders, each still capped at 20 products (compounds F-04), producing slow, incomplete listings.",Fetch all descendant category UUIDs in a single batched request (or parallelize with Future.wait) instead of sequential per-category awaits.
F-06,High,Dashboard — dashboard_cubit.dart,"dashboard_cubit.dart:64-65,78-108",Correctness / Error Handling,"loadHome() contains a leftover debug line, ((raw['data'] as Map)['data'] as List).first, which throws StateError whenever the API correctly returns zero products for page 1. That throw is caught by the same try/catch used for real network failures.","A genuinely empty catalog page falls back to showing old cached products instead of an accurate 'no products available' state, misrepresenting real inventory to the user.",Remove the leftover debug .first access entirely; distinguish a legitimately empty response from an actual fetch failure.
F-07,High,Dashboard/PDP/Listing — cubit DI pattern,dashboard_cubit.dart:16-22; product_details_cubit.dart:9-15; product_categories_cubit.dart:14-26; injection.config.dart,Architecture Consistency / Testability,"HomeCubit, ProductDetailCubit, and ProductListingCubit all call GetIt.I<ApiClient>() directly inside their methods instead of taking dependencies via constructor injection, unlike CartCubit/WishlistCubit/CategoriesCubit which correctly use @injectable with a repository/use-case layer. None of the three are registered in injection.config.dart.","Impossible to unit test these three cubits with a mocked API client; inconsistent architecture makes onboarding and future maintenance harder, and increases risk of divergent error-handling patterns.","Refactor these three cubits to accept a repository/use-case dependency via constructor injection and register them with @injectable, matching the rest of the codebase."
F-08,High,Product Listing — product_cache_service.dart,"product_cache_service.dart:38-65; product_categories_cubit.dart:149-160,194-228",Correctness / Data Freshness,getCachedProducts returns cached data of any age with only a cosmetic 'cached Xh ago' label — there is no logic that treats old cache as invalid (no TTL/expiry).,"Under the rate-limit fallback path, a stale price/stock/discount can be shown indefinitely across repeated 429s, risking users acting on outdated pricing.","Add a TTL to the cache service and treat expired entries as a cache miss, falling through to an explicit stale-data warning instead of silent indefinite reuse."
F-09,High,Cart — CartCubit singleton usage,wishlist_screen.dart:155-160; all_products_screen.dart:319-321; product_details_screen.dart:349-355,Race Condition / State Management,"The pattern 'await cartCubit.addItem(...); final error = cartCubit.state.error;' is repeated at three call sites reading global, unscoped error/isAddingItem fields on the app-wide CartCubit singleton.","Because these fields are shared app-wide, an unrelated cart operation resolving in the gap between the await and the read can show the wrong error message on an unrelated screen.",Have addItem return a typed result (success/failure + message) directly from the call rather than reading it back off shared mutable cubit state.
F-10,Medium,Product Detail — onSeeAllReviews,product_details_cubit.dart:57-61; product_details_screen.dart:490,Broken Functionality,"onAddToCart() and onBuyNow() are empty and unused (real buttons bypass them, harmless), but onSeeAllReviews() is also empty and IS wired to the live 'See All Reviews' tap.","Tapping 'See All Reviews' silently does nothing, a visible dead-end in the UI.","Implement onSeeAllReviews() to navigate to a full reviews list/screen, or remove the affordance if not yet supported."
