Finding ID,Severity,Component/Layer,File:Line,Category,Finding Summary,Impact,Recommendation
F-01,Critical,BLoC — KYC (auth_bloc.dart:323-361),auth_bloc.dart:323-361; kyc_selfie_screen.dart:43-51,Broken Functionality / Compliance,"Entire KYC submission pipeline is mocked. AuthBloc receives SubmitKycPersonalDetailsUseCase, UploadKycDocumentUseCase, UploadKycSelfieUseCase, GetKycStatusUseCase in its constructor but never assigns or calls them. _onKycPersonalDetails, _onKycDocument, _onKycSelfie, _onKycStatusPoll all emit hardcoded success/pending states and ignore the event payload entirely (name, DOB, address, file paths, document type are never read or sent).",kyc_selfie_screen.dart shows the user a genuine 'Identity Verified — your identity has been successfully verified' dialog off a fake local state. No document or selfie is ever transmitted to the backend. This is a blocking compliance/production defect — users believe they are KYC-verified when no verification occurred.,Wire the four KYC use cases into the bloc for real; remove the hardcoded emits; do not show any 'verified' UI until a real server response confirms status. Treat as release blocker.
F-02,Critical,Core — auth_interceptor.dart (26-70),auth_interceptor.dart:26-70,Race Condition / Security,"Token-refresh has no mutex/dedup. When N parallel requests receive 401 simultaneously, each interceptor invocation independently reads the refresh token and calls /refresh with no in-flight lock.","If the backend rotates refresh tokens (single-use), only the first refresh succeeds and the remaining N-1 fail, force-logging-out a session that was still valid. Even without rotation, this wastes N refresh calls and races writing tokens back to storage, risking a stale token winning the write.",Introduce a single shared in-flight refresh Future/Completer that all concurrent 401 handlers await instead of each independently calling /refresh.
F-03,Critical,BLoC — all event handlers + screens,"auth_bloc.dart:77-92; login_screen.dart:240; otp_verification_screen.dart:429,446; register_screen.dart:426; sso_set_password_screen.dart:44",Race Condition,"No BLoC event handler uses droppable()/sequential() EventTransformer (default is unbounded concurrent). Every screen instead relies on a client-side 'if (state is AuthLoading) return;' guard, which is a TOCTOU race: it reads state synchronously but emit(AuthLoading()) only lands after the event is asynchronously dequeued, so a fast double-tap can pass the guard twice. sso_set_password_screen.dart has no guard at all.","Double-tap on Login, Register, Send OTP, Resend OTP, Forgot Password, and SSO Set Password can each fire two concurrent network calls whose responses can resolve out of order, causing duplicate submissions, double account actions, or an inconsistent final UI state.",Apply bloc_concurrency's droppable() (or sequential() where order matters) to every on<Event>() registration instead of relying on ad hoc state checks in the UI.
F-04,High,BLoC — _onSetSsoPassword,auth_bloc.dart:265-277,Correctness / Error Handling,_onSetSsoPassword silently no-ops if the bloc's mutable _currentUser field is null when the setPassword call succeeds — no error and no state is emitted.,UI is left stuck on AuthLoading indefinitely (spinner forever) whenever _currentUser has been nulled by a race with logout or a bloc recreation before this screen completes.,"Never branch success handling on mutable instance state; derive user identity from the event/response, or emit an explicit error/recovery state when the expected context is missing."
F-05,High,Data — AuthRemoteDataSourceImpl / AuthRepositoryImpl,"auth_remote_datasource.dart:83-91,139-147,169-177; auth_repository_impl.dart (catch clauses); auth_bloc.dart:135",Error Handling,"AuthRemoteDataSourceImpl does deep unsafe casts on server responses (e.g. (response.data['data'] as Map<String,dynamic>)['data'] as Map<String,dynamic>). A failed cast throws a Dart TypeError, which is an Error not an Exception, so AuthRepositoryImpl's 'on Exception catch (e)' (used in 10 of 11 repo methods) does not catch it. Only _onLogin in the bloc has a bare catch(e) backstop; every other handler (register, verifyOtp, resendOtp, sendOtp, SSO send/verify, setPassword, checkEmailExists, forgotPassword, logout, all KYC) has no try/catch.",A malformed or unexpected server response shape leaves the bloc stuck in AuthLoading indefinitely for nearly every auth action except login — the app appears to hang with no error and no way to retry short of restarting.,"Catch Object/Error at the repository boundary (not just Exception), or validate/parse response shapes defensively and map any failure to a Failure type consistently across every repo method."
F-06,High,Data — KYC upload (auth_remote_datasource.dart),auth_remote_datasource.dart:254-273,Input Validation / Security,uploadKycDocument / uploadKycSelfie call MultipartFile.fromFile() directly with no file-size cap and no MIME/extension check.,"A 20+MB camera photo (or an arbitrary non-image file picked via gallery) uploads in full over any network with no client-side warning, wasting bandwidth/time on poor connections and allowing unexpected file types to reach the backend.",Validate file size and MIME type/extension client-side before upload; reject or compress oversized images with clear user feedback.
F-07,High,Data — AuthLocalDataSourceImpl,auth_local_datasource.dart:46-57,Security — Data at Rest,"saveUser/getUser store the full user object (email, full name, KYC status) via jsonEncode into plain SharedPreferences, while tokens correctly use flutter_secure_storage. Inconsistent security posture despite flutter_secure_storage/encrypt already being project dependencies.","PII is trivially recoverable from an unencrypted device backup or on a rooted/jailbroken device, even though the token storage on the same screen is hardened.",Store the cached user object in flutter_secure_storage (or encrypt it before writing to SharedPreferences) for consistency with token handling.
F-08,High,Domain/Data — EmailNotVerifiedException path,auth_repository_impl.dart:34-35; login_usecase.dart; auth_bloc.dart:128; error_handler (ErrorHandler.mapExceptionToFailure),Architecture Consistency,"EmailNotVerifiedException is rethrown raw through AuthRepositoryImpl.login and LoginUseCase (neither has a try/catch for it), breaking the Either<Failure,...> contract used everywhere else. It relies entirely on the bloc's outer try/catch in _onLogin to catch it. ErrorHandler.mapExceptionToFailure's switch does not include this exception type at all.","This is the single place in the codebase where an exception crosses the Either boundary instead of being mapped to a Failure. If _onLogin's catch block is ever refactored or the transformer changed, this silently falls through and either crashes the handler or gets mis-mapped to UnknownFailure.",Map EmailNotVerifiedException to a proper Failure type inside the repository (or add it to ErrorHandler.mapExceptionToFailure) so login follows the same Either contract as every other auth operation.
F-09,Medium,BLoC — _currentUser mutable field,"auth_bloc.dart (singleton bloc, _currentUser field)",State Management,"_currentUser is imperative mutable state on a @singleton bloc, read/written outside of `state`, rather than derived from the BLoC's own emitted state.","Root cause of F-04; also a stale-session-bleed-through risk — e.g. an in-flight SSO/KYC continuation can read _currentUser after a concurrent logout has already nulled it, or after a different user has since logged in.",Fold _currentUser into the state class itself (e.g. carried on the relevant state variants) so it can't go stale independent of the emitted state stream.
F-10,Medium,Presentation — rate limit UX,RATE_LIMIT_HANDLING.md; all auth screens (AppSnackbar.showError),UX / Consistency,"The dedicated RateLimitFailure countdown widget described in RATE_LIMIT_HANDLING.md is not wired into any auth screen — all screens show RateLimitFailure via a plain generic AppSnackbar.showError(). The independent client-side 30s OTP-resend cooldown timer is not synced to the server's actual Retry-After value, so the two can disagree.","User can be shown 'you can resend now' by the client timer while the server still rejects with 429, producing a confusing repeat failure and no visible countdown.","Wire the existing RateLimitFailure countdown widget into every screen that can receive it, and initialize/resync the client cooldown timer from the server's Retry-After header on every response."
